trial_type,seed_set,condition,control,seed,wall_seconds,action_x_auc_control,action_x_auc_difference,action_x_auc_treatment,audits,audits_treatment,calibration_updates,calibration_updates_treatment,change_probability_treatment,feedback_events,feedback_events_control,feedback_events_treatment,feedback_magnitude,final_margin_difference,finite,finite_control,finite_treatment,lease_reductions,margin_auc,margin_auc_control,margin_auc_difference,margin_auc_treatment,material_residual,material_residual_control,material_residual_treatment,max_change_probability,max_mechanism_probability,max_semantic_probability,max_state_probability,mean_margin,reward_gain_control,reward_gain_difference,reward_gain_treatment,reward_uptake,toxin_gain_difference,x_displacement_control,x_displacement_treatment
independent_stable,development,full,,101,9.689318895339966,,,,2,,2,,,0,,,,,1,,,0,32.46512104342484,,,,-2.579211558995098e-06,,,0.0,0.0,0.0,0.03283725086531376,0.7214471342983297,,,,4.070325916985409,,,
independent_stable,development,full,,202,9.85008955001831,,,,3,,3,,,0,,,,,1,,,0,33.08235202857475,,,,-2.1707362112266537e-06,,,0.0,0.0,0.0,0.03138221456970694,0.7351633784127724,,,,4.5506234454738825,,,
independent_stable,development,full,,303,9.83808708190918,,,,2,,2,,,0,,,,,1,,,0,32.673124831463056,,,,-2.333610463978175e-06,,,0.0,0.0,0.0,0.030804521735232557,0.726069440699179,,,,4.588556756559101,,,
independent_stable,development,no_audit,,101,9.65837574005127,,,,0,,0,,,0,,,,,1,,,0,32.45590512040949,,,,-2.579318817197418e-06,,,0.0,0.0,0.0,0.029181253433175645,0.7212423360090998,,,,4.070358700061558,,,
independent_stable,development,no_audit,,202,9.931390523910522,,,,0,,0,,,0,,,,,1,,,0,33.133638123989,,,,-2.172937866973257e-06,,,0.0,0.0,0.0,0.03469716218203767,0.7363030694219778,,,,4.556856731686074,,,
independent_stable,development,no_audit,,303,9.869601726531982,,,,0,,0,,,0,,,,,1,,,0,32.789801109935986,,,,-2.3343205501902276e-06,,,0.0,0.0,0.0,0.030852909337095485,0.7286622468874664,,,,4.592450608013536,,,
independent_stable,development,no_calibration,,101,9.731717109680176,,,,2,,0,,,0,,,,,1,,,0,32.46512104342484,,,,-2.579211558995098e-06,,,0.0,0.0,0.0,0.03283725086531376,0.7214471342983297,,,,4.070325916985409,,,
independent_stable,development,no_calibration,,202,9.862185955047607,,,,3,,0,,,0,,,,,1,,,0,33.08235208502988,,,,-2.1707347954702527e-06,,,0.0,0.0,0.0,0.03138221356315229,0.7351633796673307,,,,4.5506234454738825,,,
independent_stable,development,no_calibration,,303,9.922914028167725,,,,2,,0,,,0,,,,,1,,,0,32.673124831463056,,,,-2.333610463978175e-06,,,0.0,0.0,0.0,0.030804521735232557,0.726069440699179,,,,4.588556756559101,,,
independent_stable,development,no_change_gate,,101,9.594148397445679,,,,2,,2,,,0,,,,,1,,,0,32.46512104342484,,,,-2.579211558995098e-06,,,0.0,0.0,0.0,0.03283725086531376,0.7214471342983297,,,,4.070325916985409,,,
independent_stable,development,no_change_gate,,202,9.923742294311523,,,,3,,3,,,0,,,,,1,,,0,33.08235202857475,,,,-2.1707362112266537e-06,,,0.0,0.0,0.0,0.03138221456970694,0.7351633784127724,,,,4.5506234454738825,,,
independent_stable,development,no_change_gate,,303,9.868709325790405,,,,2,,2,,,0,,,,,1,,,0,32.673124831463056,,,,-2.333610463978175e-06,,,0.0,0.0,0.0,0.030804521735232557,0.726069440699179,,,,4.588556756559101,,,
independent_stable,development,no_feedback,,101,10.071686506271362,,,,2,,2,,,0,,,,,1,,,0,32.46512104342484,,,,-2.579211558995098e-06,,,0.0,0.0,0.0,0.03283725086531376,0.7214471342983297,,,,4.070325916985409,,,
independent_stable,development,no_feedback,,202,9.833534002304077,,,,3,,3,,,0,,,,,1,,,0,33.08235202857475,,,,-2.1707362112266537e-06,,,0.0,0.0,0.0,0.03138221456970694,0.7351633784127724,,,,4.5506234454738825,,,
independent_stable,development,no_feedback,,303,9.88041090965271,,,,2,,2,,,0,,,,,1,,,0,32.673124831463056,,,,-2.333610463978175e-06,,,0.0,0.0,0.0,0.030804521735232557,0.726069440699179,,,,4.588556756559101,,,
independent_stable,development,no_falsification,,101,9.885134935379028,,,,2,,2,,,0,,,,,1,,,0,32.452070853117974,,,,-2.5793183358047145e-06,,,0.0,0.0,0.0,0.028144290842772635,0.7211571300692883,,,,4.07030520166273,,,
independent_stable,development,no_falsification,,202,9.851704120635986,,,,3,,3,,,0,,,,,1,,,0,33.32593420513969,,,,-2.1733141153390534e-06,,,0.0,0.0,0.0,0.03206604569295275,0.7405763156697709,,,,4.552305143089545,,,
independent_stable,development,no_falsification,,303,9.946592330932617,,,,2,,2,,,0,,,,,1,,,0,32.754308372194934,,,,-2.3338738710521056e-06,,,0.0,0.0,0.0,0.030907244574346675,0.7278735193821096,,,,4.591203416858306,,,
stable_safety,holdout,full,,404,9.925057649612427,,,,3,,3,,,0,,,,,1,,,0,33.22541389394686,,,,-2.3553510537510647e-06,,,0.0,0.0,0.0,0.03547974675442797,0.7383425309765969,,,,4.42875072843175,,,
stable_safety,holdout,full,,505,10.207362174987793,,,,2,,2,,,0,,,,,1,,,0,31.31573649409646,,,,-1.986707122370035e-06,,,0.0,0.0,0.0,0.029414757154429514,0.6959052554243658,,,,4.592606534697265,,,
stable_safety,holdout,full,,606,10.336382865905762,,,,2,,2,,,0,,,,,1,,,0,32.06056005628971,,,,-2.161672314926477e-06,,,0.0,0.0,0.0,0.032210778387047515,0.7124568901397713,,,,4.541537776155139,,,
stable_safety,holdout,full,,707,10.095855236053467,,,,3,,3,,,0,,,,,1,,,0,33.734621293105114,,,,-2.2095730969340366e-06,,,0.0,0.0,0.0,0.03221289102772163,0.7496582509578914,,,,4.546879732450001,,,
stable_safety,holdout,full,,808,9.812022924423218,,,,3,,3,,,0,,,,,1,,,0,33.541604475160256,,,,-2.63723312876607e-06,,,0.0,0.0,0.0,0.03438209201617127,0.7453689883368946,,,,4.599521245886188,,,
stable_safety,holdout,full,,909,9.824378490447998,,,,2,,2,,,0,,,,,1,,,0,31.81310629527296,,,,-2.1149298383704718e-06,,,0.017144124717744846,0.0171441247177448,0.0,0.030748873410520804,0.7069579176727324,,,,4.101250032132586,,,
controlled_feedback_twin,controlled,verified_counterexample_feedback,same_body_no_feedback,101,3.5323283672332764,-1.2298916061082648,2.2633137230917066,1.0334221169834419,,,,,,,,,0.9683225806451612,-5.080777768395883e-06,,1,1,,,5.666557284718905,-8.772286852742894e-05,5.666469561850378,,-2.2924498832566087e-06,-2.2923010991604542e-06,,,,,,2.115134436721387,0.0001275972609811049,2.115262033982368,,,0.07132024517878677,0.07148965716088429
